Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	ppp01110:Biosynthesis of secondary metabolites	33	13.807531380753138	7.807875614100243E-9	112273017, 112276927, 112274269, 112277636, 112273835, 112295966, 112278648, 112280966, 112277699, 112276065, 112278884, 112274681, 112276782, 112280792, 112276163, 112286715, 112284910, 112290843, 112283187, 112284299, 112282471, 112285521, 112272830, 112275628, 112277588, 112280636, 112293910, 112273041, 112276077, 112284722, 112276371, 112287890, 112287296	54	1218	5204	2.611019886881956	3.9039370369753357E-7	3.9039378070501214E-7	3.513544026345109E-7
UP_KW_DOMAIN	KW-0732~Signal	47	19.665271966527197	7.865606166787575E-8	112295785, 112292393, 112294854, 112275613, 112275713, 112295429, 112275255, 112280988, 112277733, 112285915, 112293622, 112295883, 112283224, 112279293, 112281820, 112288699, 112288352, 112281020, 112282471, 112284498, 112284374, 112287289, 112273402, 112295138, 112275628, 112277603, 112295558, 112284281, 112283290, 112293116, 112277666, 112291110, 112279322, 112279462, 112282267, 112278174, 112289817, 112284324, 112280861, 112288906, 112290834, 112293529, 112291448, 112282943, 112279080, 112282164, 112283274	102	2564	11792	2.119176531767153	8.652163380196143E-7	8.652166783466332E-7	8.652166783466332E-7
INTERPRO	IPR018088:Chalcone/stilbene_synthase_AS	6	2.510460251046025	3.8744238068135376E-7	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	200	20	25507	38.2605	1.809192589903308E-4	1.8093559177819222E-4	1.7318674416456513E-4
KEGG_PATHWAY	ppp01100:Metabolic pathways	43	17.99163179916318	7.820040115077613E-7	112288370, 112273017, 112276927, 112274269, 112277636, 112273835, 112295966, 112278648, 112280966, 112277699, 112276065, 112278884, 112274681, 112276782, 112280792, 112283224, 112281069, 112276163, 112286715, 112284910, 112290843, 112288512, 112283187, 112284299, 112282471, 112285521, 112287289, 112272830, 112277588, 112280636, 112293910, 112273041, 112276077, 112284722, 112289817, 112296080, 112276371, 112280861, 112282943, 112287890, 112287296, 112285454, 112287872	54	2405	5204	1.723046123046123	3.909945146207683E-5	1.8017772062983485E-5	1.6215994856685137E-5
KEGG_PATHWAY	ppp00360:Phenylalanine metabolism	7	2.928870292887029	1.081066323779009E-6	112280792, 112277636, 112295966, 112290843, 112286715, 112278648, 112285521	54	35	5204	19.274074074074075	5.405188455154253E-5	1.8017772062983485E-5	1.6215994856685137E-5
SMART	SM00380:AP2	10	4.184100418410042	1.903882350844298E-6	112282168, 112284379, 112289911, 112284328, 112281109, 112282738, 112277463, 112279544, 112282694, 112281055	58	171	8393	8.462391611211938	6.472996647655105E-5	6.473199992870613E-5	6.282811757786184E-5
UP_SEQ_FEATURE	ACT_SITE:Acyl-thioester intermediate	6	2.510460251046025	4.023913746596891E-6	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	195	33	26484	24.693706293706295	4.948199228500538E-4	2.6917981870032653E-4	2.6480291107918303E-4
INTERPRO	IPR022313:Phe/His_NH3-lyase_AS	5	2.092050209205021	4.58732123635226E-6	112277636, 112295966, 112290843, 112286715, 112285521	200	15	25507	42.51166666666667	0.0021399908785636468	7.612453926984236E-4	7.286438769511678E-4
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	21	8.786610878661087	4.8983743905339925E-6	112287097, 112279419, 112284281, 112280965, 112285828, 112286966, 112285469, 112281367, 112290834, 112279293, 112280334, 112295070, 112281798, 112282328, 112283714, 112280291, 112286610, 112289353, 112287224, 112283067, 112285321	122	891	16921	3.2689462935364575	1.5183844939203883E-4	1.5184960610655377E-4	1.371544829349518E-4
GOTERM_MF_DIRECT	GO:0045548~phenylalanine ammonia-lyase activity	5	2.092050209205021	5.692487741841552E-6	112277636, 112295966, 112290843, 112286715, 112285521	164	14	18277	39.801829268292686	7.96633071429631E-4	7.969482838578174E-4	7.457158941812434E-4
INTERPRO	IPR005922:Phe_NH3-lyase	5	2.092050209205021	6.079107458550249E-6	112277636, 112295966, 112290843, 112286715, 112285521	200	16	25507	39.8546875	0.0028349257993812715	7.612453926984236E-4	7.286438769511678E-4
UP_SEQ_FEATURE	DOMAIN:Chalcone/stilbene synthase C-terminal	6	2.510460251046025	6.278796786041134E-6	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	195	36	26484	22.635897435897437	7.719962866403751E-4	2.6917981870032653E-4	2.6480291107918303E-4
UP_SEQ_FEATURE	DOMAIN:Chalcone/stilbene synthase N-terminal	6	2.510460251046025	7.21686662061228E-6	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	195	37	26484	22.024116424116425	8.872839280843481E-4	2.6917981870032653E-4	2.6480291107918303E-4
INTERPRO	IPR012328:Chalcone/stilbene_synt_C	6	2.510460251046025	8.512479997756657E-6	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	200	36	25507	21.25583333333333	0.003967453855003966	7.612453926984236E-4	7.286438769511678E-4
GOTERM_BP_DIRECT	GO:0030639~polyketide biosynthetic process	6	2.510460251046025	8.558564005870495E-6	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	136	32	15186	20.936580882352942	9.837548681081998E-4	9.756762966692365E-4	8.986492206164019E-4
